sprint,story_id,story,keyword,mitre_id,technique,severity,score,recommendation,security_user_story,assignee
2,1,"As a user, I want to register with email and password so I can create an account.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
2,2,"As a user, I want to login with email and password so I can access my dashboard.",login,T1110,Brute Force,High,9.0,"Rate-limit login attempts, enable MFA","As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'.",Team
2,2,"As a user, I want to login with email and password so I can access my dashboard.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
2,3,"As a user, I want to reset my password using an email OTP so I can recover my account.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
2,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,"As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'.",Team
2,3,"As a user, I want to reset my password using an email OTP so I can recover my account.",otp,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'otp'.",Team
2,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",csv,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'csv'.",Team
2,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",upload,T1204,Malicious File Upload,Medium,6.0,"Scan uploaded files, validate file type","As a system, I should apply Scan uploaded files, validate file type to reduce Malicious File Upload (T1204) risk for 'upload'.",Team
2,6,"As a customer, I want to view my order history and export it as CSV.",csv,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'csv'.",Team
2,4,"As a user, I want to update my profile picture by uploading an image file.",(none),(none),(none),Low,3.0,Manual review,Manual security review required,Team
